Nr;Kategori;Allvarlighet;Status;Beskrivning;Detaljer;Föreslagen åtgärd
1;Bugg – Kodreferens;KRITISK;Åtgärdad 2026-04-18;liveFXRater är odefinierad variabel i renderAvsteg1();"Rad 4668 och 4700 använde liveFXRater men den globala variabeln heter liveFX. FX-statusen i Avstämningspanel steg 1 visade alltid 'Ej hämtade' oavsett om FX faktiskt hämtats.";"liveFXRater → liveFX på rad 4668 och 4700 — fixat"
2;Bugg – Beräkning;HÖG;Åtgärdad 2026-04-18;Signalband kassa saknas i ombalanseringskontrollen;"renderDashboard() signalband beräknade ombalanseringsvarningar med tot2 = summa(katVärden) UTAN kassa. renderKategorier() och renderSignaler() inkluderar kassa i tot/katTot — inkonsekvent.";"kassa2 = max(0, beräknaTillgängligLikviditet()) adderas till tot2 — fixat"
3;Bugg – UX;HÖG;Bekräftad – ej åtgärdad;sökTicker() använder blockerande prompt()-dialoger;"prompt() och alert() blockerar UI-tråden och fungerar dåligt på iPad (Safari iOS kan blockera dessa). Förstör användarupplevelsen på den primära plattformen.";"Ersätt med inline modal/dropdown i sidan istället för native prompt()"
4;Bugg – Rendering;MEDEL;Åtgärdad 2026-04-18;signal-band HTML har konflikt mellan display:none och display:flex;"Signalbandet hade inline style='display:none' hårdkodat i HTML OCH display:flex — webbläsaren tolkade sista värdet, vilket innebar att bandet ALLTID visades även utan signaler.";"Dubbletten display:none borttagen — JS styr display via band.style.display — fixat"
5;Bugg – Rendering;MEDEL;Åtgärdad 2026-04-18;hämtaAllaMA200() anropade inte ritaDiagram() efter uppdatering;"När MA200-värden hämtades från Alpha Vantage uppdaterades inte donut-diagrammet automatiskt. Användaren såg gamla procentandelar tills sidan laddades om.";"ritaDiagram() och renderSignaler() tillagda i hämtaAllaMA200() — fixat"
6;Bugg – Beräkning;MEDEL;Misstänkt;Kategoriavkastning% kan bli missvisande vid nyimport samma dag;"Om användaren importerar en ny positionsfil och sedan byter period kan startHistorikpunkten vara dagens import — periodutvecklingen blir 0 kr/0%. Logiken hanterar troligen detta men bör verifieras.";"Lägg till edge case-test: importera fil idag, välj period '7D', kontrollera att avkastning är korrekt"
7;Bugg – Data;MEDEL;Misstänkt;avanzaTransaktioner filtreras inte korrekt vid dubbelimport;"Om användaren importerar samma transaktionsfil två gånger kan dubbletter uppstå i data.avanzaTransaktioner[]. Inga dedupliceringsmekanismer syns i importkoden.";"Lägg till ISIN+datum+belopp-baserad deduplicering vid import av transaktioner"
8;Bugg – Beräkning;MEDEL;Misstänkt;beräknaNettoInsattMellan() exkluderar ej positionsKassa;"Kassakonton räknas in i likviditeten men eventuella insättningar till dessa konton kan dubbelräknas mot transaktionsflödet om de också finns i avanzaTransaktioner.";"Verifiera att beräknaNettoInsattMellan() och beräknaAvanzaKassaTotalt() inte dubbelräknar samma belopp"
9;Bugg – UI;LÅG;Åtgärdad 2026-04-18;Mobilkort i Innehav visade inte MA200-varning (⚠) vid sanity-check-fel;"renderTickerLista() visade ⚠ vid ma200Varning i desktoptabellen, men innehavskortet i mobilvy saknade denna indikation. Användaren på iPad missade varningen.";"Varningsruta tillagd i mobilkortsrendering — fixat"
10;Bugg – UI;LÅG;Misstänkt;Sorteringspil i innehavstabell återställs inte vid navigation;"Om användaren sorterar tabellen och sedan byter flik och kommer tillbaka kan det visuella piltecknet (↑↓) vara felinriktat relativt faktisk sortering.";"Verifiera att sorteringsstate och pilar är konsekventa efter flikbyte"
11;Bugg – UI;LÅG;Misstänkt;Utdelningskalender visar ingenting utan transaktionshistorik men ger ingen förklaring;"renderUtdelningskalender() är beroende av avanzaTransaktioner med historiska utdelningar. En ny användare utan importerad historik ser ett tomt kort utan förklaring av varför.";"Lägg till tomtillstånd: 'Importera transaktionsfil för att se förväntade utdelningar'"
12;Dokumentation – Hjälp;HÖG;Bekräftad – ej åtgärdad;Hjälpfilens FAQ svarar felaktigt om kassahantering;"FAQ nämner 'Tillgängligt för köp per konto' men förklarar inte att detta ADDERAS till positionsKassan från importfilen. Användare kan råka dubbla sitt kassasaldo.";"Förtydliga i FAQ hur de två kassasystemen samverkar och vad användaren ska ange manuellt"
13;Dokumentation – Hjälp;HÖG;Bekräftad – ej åtgärdad;Hjälpen beskriver inte hur ombalanseringsassistentens beräkning fungerar;"'Köp/Sälj för X kr' visas i kategorikortet men hjälpen förklarar inte att beloppet baseras på (målMitt% - nuVikt%) × portföljvärde. Krångliga portföljer kan ge förvirrande tal.";"Lägg till förklaring av formeln i hjälpfilen under 'Ombalanseringsassistenten'"
14;Dokumentation – Hjälp;MEDEL;Bekräftad – ej åtgärdad;Hjälpfilens ticker-format-tabell saknar exempel på danska och finska aktier;"Tabellen täcker US/SE/UK/NO men danska (OMXC) och finska (OMXH) aktier saknas trots att många svenska investerare håller nordiska aktier.";"Lägg till OMXC och OMXH format i tickertabellen i hjälpfilen"
15;Dokumentation – Hjälp;MEDEL;Bekräftad – ej åtgärdad;Veckorutin i hjälpen nämner inte att Alpha Vantage bör köras vid kursrörelser;"Steg 3 i veckorutinen säger 'kontrollera signaler' men nämner inte att MA200 behöver uppdateras manuellt via 📡 om tickers finns — annars baseras signaler på gamla MA200-värden.";"Lägg till påminnelse om 📡 Uppdatera alla MA200 i veckorutinen"
16;Dokumentation – Beskrivning;MEDEL;Bekräftad – ej åtgärdad;Beskrivningsdokumentet v300 nämner inte kassafördelning i donut-diagrammet;"Det nya diagrambeteendet (kassa som grå sektor) beskrivs varken i sektionen om kategorivyn eller i Kom igång-avsnittet.";"Uppdatera Strategiportfoljen_Beskrivning_v300.docx med information om kassan i donut"
17;Dokumentation – README;LÅG;Åtgärdad 2026-04-18;README nämnde inte 🔍 ticker-sökfunktionen;"README-avsnittet 'Tickers & automatisk MA200-hämtning' beskrev formaten men nämnde inte 🔍-knappen för automatisk sökning via Alpha Vantage SYMBOL_SEARCH.";"Rad om 🔍-sökknapp och ⚠-indikator tillagd i README — fixat"
18;Användarvänlighet;HÖG;Bekräftad – ej åtgärdad;Ingen återkoppling om senaste MA200-uppdateringsdatum i normalvy;"MA200-datum visas enbart i 📡 Tickers & MA200-sektionen. I den vanliga innehavstabellen (utanför ticker-sektionen) syns inte när MA200 senast uppdaterades. Användaren vet inte om signaler baseras på färska eller gamla data.";"Visa 'MA200: [datum]' som tooltip eller sub-rad på MA200-kolumnen i innehavstabellen"
